Country,City,Latitude,Longitude,Temperature F,Humidity %,Cloudiness %,Wind Speed mph
in,binika,21.033333,83.8,74.73,63,0,4.61
ru,ayan,56.45,138.166667,11.33,78,8,3.27
br,panelas,-8.666667,-36.016667,68.21,95,92,3.6
hu,gyongyospata,47.815049,19.789245,26.6,100,20,3.36
pl,zielonka,52.303157,21.158459,37.4,86,90,4.7
us,country club hills,41.5680556,-87.72027779999999,49.17,66,90,20.8
pe,tingo maria,-9.3,-75.9833333,64.65,90,68,1.81
hu,ricse,48.325645,21.970694,34.68,86,75,6.93
be,anzegem,50.833333,3.4666669999999997,38.79,93,90,4.7
mx,progreso,32.58,-115.58388899999999,66.2,77,0,6.93
